     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
149        4.0      2.0   1048576.0     1024.0           1024.0  0.010056   8.134802
155        4.0      2.0   1048576.0     1024.0           4096.0  0.018973   8.135731
161        4.0      2.0   1048576.0     1024.0        1048576.0  0.000731   2.847339
133        4.0      4.0   1048576.0     1024.0             16.0  0.009593  13.735973
138        4.0      4.0   1048576.0     1024.0             64.0  0.013263  15.299542
144        4.0      4.0   1048576.0     1024.0            256.0  0.006074  15.907386
150        4.0      4.0   1048576.0     1024.0           1024.0  0.009512  15.794918
156        4.0      4.0   1048576.0     1024.0           4096.0  0.009478  15.415610
162        4.0      4.0   1048576.0     1024.0        1048576.0  0.002442   3.784289
134        4.0      8.0   1048576.0     1024.0             16.0  0.009744  19.683649
139        4.0      8.0   1048576.0     1024.0             64.0  0.008442  26.010955
145        4.0      8.0   1048576.0     1024.0            256.0  0.006596  25.888206
151        4.0      8.0   1048576.0     1024.0           1024.0  0.008204  26.101573
157        4.0      8.0   1048576.0     1024.0           4096.0  0.002931  26.901450
163        4.0      8.0   1048576.0     1024.0        1048576.0  0.001417   4.009584
135        8.0      2.0   1048576.0     1024.0             16.0  0.006088  13.821933
140        8.0      2.0   1048576.0     1024.0             64.0  0.016837  14.599963
146        8.0      2.0   1048576.0     1024.0            256.0  0.020351  14.729913
152        8.0      2.0   1048576.0     1024.0           1024.0  0.017634  14.654306
158        8.0      2.0   1048576.0     1024.0           4096.0  0.017265  14.478907
164        8.0      2.0   1048576.0     1024.0        1048576.0  0.004273   4.681985
136        8.0      4.0   1048576.0     1024.0             16.0  0.004933  22.484778
141        8.0      4.0   1048576.0     1024.0             64.0  0.002576  24.963741
147        8.0      4.0   1048576.0     1024.0            256.0  0.004468  26.039076
153        8.0      4.0   1048576.0     1024.0           1024.0  0.004247  26.118826
159        8.0      4.0   1048576.0     1024.0           4096.0  0.036856  23.191008
165        8.0      4.0   1048576.0     1024.0        1048576.0  0.001927   6.139046
142        8.0      8.0   1048576.0     1024.0             64.0  0.000000  14.030345
148        8.0      8.0   1048576.0     1024.0            256.0  0.010095  12.550878
154        8.0      8.0   1048576.0     1024.0           1024.0  0.032616  12.607746
160        8.0      8.0   1048576.0     1024.0           4096.0  0.006812  11.385710
